name	input_score	output_score_100
1855	0.000000	0.130705
1856	0.000000	0.102191
1857	0.000000	0.197946
1858	0.000000	0.149044
1859	0.000000	0.829911
186	0.000000	0.000000
1860	0.000000	0.492116
1861	0.000000	0.000000
1862	0.000000	0.132985
1863	0.000000	0.172521
1864	0.000000	0.314667
1865	0.000000	0.000000
1866	0.000000	0.000000
1867	0.000000	0.239777
1868	0.000000	0.000000
1869	0.000000	0.149023
187	0.000000	0.141975
1870	0.000000	0.000000
1871	0.000000	0.149344
1872	0.000000	0.164474
1873	0.000000	0.119312
1874	0.000000	0.172521
1875	0.000000	0.130705
1876	0.000000	0.000000
1877	0.000000	0.088180
1878	0.000000	0.160076
1879	0.000000	0.026271
188	0.000000	0.237032
1880	0.000000	0.116922
1881	0.000000	0.197632
1882	0.000000	0.275906
1883	0.000000	0.126418
1884	0.000000	0.274535
1885	0.000000	0.457532
1886	0.000000	0.143252
1887	0.000000	0.143252
1888	0.000000	0.342370
1889	0.000000	0.272452
189	0.000000	0.132978
1890	0.000000	0.148284
1891	0.000000	0.521448
1892	0.000000	0.139367
1893	0.000000	0.000000
1894	0.000000	0.251890
1895	0.000000	0.176158
1896	0.000000	0.132978
1897	0.000000	0.000000
1898	0.000000	0.116922
1899	0.000000	0.112646
19	0.000000	0.232046
190	0.000000	0.255037
1900	0.000000	0.027057
1901	0.000000	0.150225
1902	0.000000	0.209147
1903	0.000000	0.177560
1904	0.000000	0.191347
1905	0.000000	0.361507
1906	0.000000	0.212503
1907	0.000000	0.197632
1908	0.000000	0.271844
1909	0.000000	0.325518
191	0.000000	0.145788
1910	0.000000	0.000000
1911	0.000000	0.437159
1912	0.000000	0.181273
1913	0.000000	0.126438
1914	0.000000	0.192889
1915	0.000000	0.000000
1916	0.000000	0.000000
1917	0.000000	0.123690
1918	0.000000	0.196180
1919	0.000000	0.139352
192	0.000000	0.090889
1920	0.000000	0.211577
1921	0.000000	0.130705
1922	0.000000	0.165246
1923	0.000000	0.227451
1924	0.000000	0.138262
1925	0.000000	0.176158
1926	0.000000	0.137214
1927	0.000000	0.121422
1928	0.000000	1.225032
1929	0.000000	0.675909
193	0.000000	0.065784
1930	0.000000	0.182852
1931	0.000000	0.182852
1932	0.000000	0.161422
1933	0.000000	0.141975
1934	0.000000	0.151853
1935	0.000000	0.306277
1936	0.000000	0.343757
1937	0.000000	0.101662
1938	0.000000	0.116922
1939	0.000000	0.179387
194	0.000000	0.210155
1940	0.000000	0.266145
1941	0.000000	0.000000
1942	0.000000	0.157736
1943	0.000000	0.141975
