AFUA_5G01900_nca	AFUA_1G15290
AFUA_5G01900	AFUA_1G02720
AFUA_5G00720	AFUA_2G05240
AFUA_5G00440	AFUA_5G00470
AFUA_5G00290	AFUA_3G13240
AFUA_5G00290	AFUA_2G17490
AFUA_5G00290	AFUA_1G01812
AFUA_4G14790	AFUA_8G00250
AFUA_4G14790	AFUA_8G00240
AFUA_4G14790	AFUA_8G00230
AFUA_4G14790	AFUA_4G14850
AFUA_4G14790	AFUA_4G14840
AFUA_4G14790	AFUA_4G14830
AFUA_4G14790	AFUA_4G14820
AFUA_4G14790	AFUA_4G14810
AFUA_4G14790	AFUA_4G14800
AFUA_4G14790	AFUA_4G14780
AFUA_4G14790	AFUA_4G14770
AFUA_4G14620	AFUA_6G01950
AFUA_4G14620	AFUA_5G14830
AFUA_4G14620	AFUA_5G13740
AFUA_4G14620	AFUA_5G10270
AFUA_4G14620	AFUA_5G09970
AFUA_4G14620	AFUA_5G06910
AFUA_4G14620	AFUA_5G06240
AFUA_4G14620	AFUA_4G13120
AFUA_4G14620	AFUA_4G09250
AFUA_4G14620	AFUA_4G03830
AFUA_4G14620	AFUA_3G11070
AFUA_4G14620	AFUA_3G03580
AFUA_4G14620	AFUA_3G03570
AFUA_4G14620	AFUA_3G01900
AFUA_4G14620	AFUA_3G00500
AFUA_4G13600	AFUA_5G06340
AFUA_4G12920	AFUA_2G04262
AFUA_4G12560	AFUA_7G03640
AFUA_4G12410	AFUA_2G00480
AFUA_4G12410	AFUA_1G11280
AFUA_4G12180_nca	AFUA_7G01010
AFUA_4G12180_nca	AFUA_7G01000
AFUA_4G12170	AFUA_4G04620
AFUA_4G10820_nca	AFUA_7G06830
AFUA_4G10820_nca	AFUA_6G10290
AFUA_4G10820_nca	AFUA_5G12640
AFUA_4G10820_nca	AFUA_4G11570
AFUA_4G10160	AFUA_4G10150
AFUA_4G10110_nca	AFUA_8G06860
AFUA_4G10110_nca	AFUA_2G02440
AFUA_4G09710	AFUA_6G13350
AFUA_4G09710	AFUA_4G11320
AFUA_4G09710	AFUA_4G09700
AFUA_4G09710	AFUA_4G09670
AFUA_4G09710	AFUA_4G08420
AFUA_4G09710	AFUA_4G08370
AFUA_4G09710	AFUA_2G15200
AFUA_4G09710	AFUA_2G14790
